Mach,CD Power-Off
6.8,0.384851515
6.81,0.384616672
6.82,0.384382444
6.83,0.384148828
6.84,0.383915781
6.85,0.383683343
6.86,0.383451491
6.87,0.383220242
6.88,0.382989554
6.89,0.382759466
6.9,0.382529955
6.91,0.382301019
6.92,0.382072667
6.93,0.381844895
6.94,0.381617682
6.95,0.381391036
6.96,0.381164964
6.97,0.380939466
6.98,0.380714529
6.99,0.38049014
7,0.380270473
7.01,0.380059992
7.02,0.379850139
7.03,0.379640891
7.04,0.379432264
7.05,0.379224239
7.06,0.379016831
7.07,0.37881002
7.08,0.378603821
7.09,0.378398224
7.1,0.378193215
7.11,0.377988804
7.12,0.377784997
7.13,0.377581782
7.14,0.377379147
7.15,0.377177101
7.16,0.376975641
7.17,0.376774764
7.18,0.376574469
7.19,0.376374743
7.2,0.376175595
7.21,0.375977032
7.22,0.375779022
7.23,0.375581583
7.24,0.375384713
7.25,0.37518841
7.26,0.374992678
7.27,0.374797487
7.28,0.374602864
7.29,0.374408787
7.3,0.374215274
7.31,0.374022304
7.32,0.373829884
7.33,0.373638001
7.34,0.373446675
7.35,0.373255893
7.36,0.373065639
7.37,0.372875927
7.38,0.372686751
7.39,0.372498111
7.4,0.372309995
7.41,0.372122419
7.42,0.371935362
7.43,0.371748832
7.44,0.371562826
7.45,0.371377335
7.46,0.371192363
7.47,0.371007923
7.48,0.370823987
7.49,0.370640558
7.5,0.370457651
7.51,0.370275245
7.52,0.370093349
7.53,0.36991196
7.54,0.369731076
7.55,0.369550685
7.56,0.369370797
7.57,0.369191408
7.58,0.369012516
7.59,0.36883411
7.6,0.368656199
7.61,0.368478779
7.62,0.36830185
7.63,0.3681254
7.64,0.367949447
7.65,0.367773957
7.66,0.367598961
7.67,0.367424434
7.68,0.3672504
7.69,0.367076821
7.7,0.366903729
7.71,0.366731101
7.72,0.366558945
7.73,0.366387259
7.74,0.366216033
7.75,0.366045273
7.76,0.365874978
7.77,0.365705148
7.78,0.365535769
7.79,0.365366851
7.8,0.365198391
7.81,0.365030388
7.82,0.36486283
7.83,0.364695715
7.84,0.364529062
7.85,0.364362849
7.86,0.364197085
7.87,0.364031758
7.88,0.363866886
7.89,0.363702438
7.9,0.363538441
7.91,0.363374875
7.92,0.363211747
7.93,0.363049057
7.94,0.362886792
7.95,0.362724962
7.96,0.362563563
7.97,0.362402586
