Mach,CD Power-On
11.49,0.330515941
11.5,0.330493472
11.51,0.33047104
11.52,0.33044866
11.53,0.33042633
11.54,0.330404039
11.55,0.330381798
11.56,0.330359606
11.57,0.330337455
11.58,0.330315352
11.59,0.330293299
11.6,0.330271284
11.61,0.330249321
11.62,0.330227405
11.63,0.330205526
11.64,0.330183699
11.65,0.330161908
11.66,0.330140177
11.67,0.330118474
11.68,0.330096829
11.69,0.330075223
11.7,0.330053655
11.71,0.330032144
11.72,0.330010671
11.73,0.329989236
11.74,0.329967849
11.75,0.329946508
11.76,0.329925206
11.77,0.329903952
11.78,0.329882734
11.79,0.329861573
11.8,0.329840439
11.81,0.329819362
11.82,0.329798322
11.83,0.329777318
11.84,0.329756361
11.85,0.329735451
11.86,0.329714578
11.87,0.32969375
11.88,0.329672968
11.89,0.329652222
11.9,0.329631513
11.91,0.329610849
11.92,0.329590232
11.93,0.329569649
11.94,0.329549122
11.95,0.329528621
11.96,0.329508166
11.97,0.329487755
11.98,0.32946738
11.99,0.329447038
12,0.329426754
12.01,0.329406493
12.02,0.329386287
12.03,0.329366117
12.04,0.329345991
12.05,0.329325898
12.06,0.329305841
12.07,0.329285828
12.08,0.329265859
12.09,0.329245923
12.1,0.329226033
12.11,0.329206177
12.12,0.329186363
12.13,0.329166584
12.14,0.329146848
12.15,0.329127157
12.16,0.329107498
12.17,0.329087873
12.18,0.32906829
12.19,0.329048753
12.2,0.329029246
12.21,0.329009784
12.22,0.328990354
12.23,0.328970957
12.24,0.328951603
12.25,0.328932292
12.26,0.328913013
12.27,0.328893776
12.28,0.328874572
12.29,0.32885541
12.3,0.328836281
12.31,0.328817193
12.32,0.328798138
12.33,0.328779115
12.34,0.328760133
12.35,0.328741193
12.36,0.328722286
12.37,0.328703419
12.38,0.328684584
12.39,0.328665791
12.4,0.32864703
12.41,0.328628299
12.42,0.328609609
12.43,0.32859096
12.44,0.328572343
12.45,0.328553767
12.46,0.328535221
12.47,0.328516705
12.48,0.328498232
12.49,0.328479798
12.5,0.328461385
12.51,0.328443022
12.52,0.32842468
12.53,0.328406388
12.54,0.328388127
12.55,0.328369895
12.56,0.328351703
12.57,0.328333543
12.58,0.328315411
12.59,0.328297318
12.6,0.328279267
12.61,0.328261244
12.62,0.328243252
12.63,0.328225298
12.64,0.328207374
12.65,0.32818949
12.66,0.328171635
12.67,0.328153818
12.68,0.32813603
12.69,0.328118273
12.7,0.328100555
12.71,0.328082873
12.72,0.328065222
12.73,0.3280476
12.74,0.328030016
12.75,0.328012461
12.76,0.327994934
12.77,0.327977446
12.78,0.327959996
12.79,0.327942563
12.8,0.32792518
12.81,0.327907825
12.82,0.327890497
12.83,0.327873198
12.84,0.327855936
12.85,0.327838713
12.86,0.327821507
12.87,0.327804349
12.88,0.327787209
12.89,0.327770106
12.9,0.327753041
12.91,0.327736003
12.92,0.327718993
12.93,0.327702019
12.94,0.327685073
12.95,0.327668154
12.96,0.327651272
12.97,0.327634427
12.98,0.3276176
12.99,0.327600808
13,0.327584053
13.01,0.327567316
13.02,0.327550625
13.03,0.327533951
13.04,0.327517313
13.05,0.327500711
13.06,0.327484136
13.07,0.327467588
13.08,0.327451076
13.09,0.327434589
13.1,0.327418129
13.11,0.327401705
13.12,0.327385308
13.13,0.327368935
13.14,0.327352609
13.15,0.327336299
13.16,0.327320024
13.17,0.327303775
13.18,0.327287552
13.19,0.327271364
13.2,0.327255202
13.21,0.327239065
13.22,0.327222972
13.23,0.327206897
13.24,0.327190856
13.25,0.327174839
13.26,0.327158848
13.27,0.327142892
13.28,0.327126961
13.29,0.327111055
13.3,0.327095183
13.31,0.327079347
13.32,0.327063526
13.33,0.327047739
13.34,0.327031976
13.35,0.327016248
13.36,0.327000545
13.37,0.326984866
13.38,0.32696922
13.39,0.3269536
13.4,0.326938004
13.41,0.326922442
13.42,0.326906904
13.43,0.3268914
13.44,0.32687591
13.45,0.326860454
13.46,0.326845032
13.47,0.326829624
13.48,0.32681426
13.49,0.326798909
13.5,0.326783591
13.51,0.326768298
13.52,0.326753037
13.53,0.326737801
13.54,0.326722588
13.55,0.326707398
13.56,0.32669224
13.57,0.326677108
13.58,0.326662007
13.59,0.32664693
13.6,0.326631876
13.61,0.326616845
13.62,0.326601848
13.63,0.326586872
13.64,0.32657193
13.65,0.32655701
13.66,0.326542114
13.67,0.326527239
13.68,0.326512397
13.69,0.326497578
13.7,0.326482782
13.71,0.326468017
13.72,0.326453277
13.73,0.326438557
13.74,0.326423869
13.75,0.326409206
13.76,0.326394562
13.77,0.326379952
13.78,0.326365364
13.79,0.326350798
13.8,0.326336252
13.81,0.326321741
13.82,0.32630725
13.83,0.326292792
13.84,0.326278354
13.85,0.326263939
13.86,0.326249545
13.87,0.326235172
13.88,0.326220842
13.89,0.326206523
13.9,0.326192226
13.91,0.32617796
13.92,0.326163724
13.93,0.326149501
13.94,0.326135309
13.95,0.326121128
13.96,0.326106988
13.97,0.326092858
13.98,0.326078761
